Date,num_of_date,num_of_patients,Date_test,num_of_date_test,num_of_patients_test
43892,1,2,43912,1,2
43893,2,2,43913,2,2
43894,3,2,43914,3,2
43895,4,2,43915,4,2
43896,5,4,43916,5,4
43897,6,4,43917,6,4
43898,7,6,43918,7,6
43899,8,19,43919,8,19
43900,9,27,43920,9,27
43901,10,34,43921,10,34
43902,11,34,43922,11,34
43903,12,69,43923,12,69
43904,13,96,43924,13,96
43905,14,117,43925,14,117
43906,15,134,43926,15,134
43907,16,172,43927,16,172
43908,17,227,43928,17,227
43909,18,311,43929,18,311
43910,19,369,43930,19,369
43911,20,450,43931,20,450
43912,21,514,43932,21,514
43913,22,579,43933,22,579
43914,23,686,43934,23,686
43915,24,790,43935,24,790
43916,25,893,43936,25,893
43917,26,1046,43937,26,1046
43918,27,1155,43938,27,1155
43919,28,1285,43939,28,1285
43920,29,1414,43940,29,1414
43921,30,1528,43941,30,1528
43922,31,1677,43942,31,1677
43923,32,1790,43943,32,1790
43924,33,1986,43944,33,1986
43925,34,2092,43945,34,2092
43926,35,2273,43946,35,2273
43927,36,2491,43947,36,2491
43928,37,2738,43948,37,2738
43929,38,2956,43949,38,2956
43930,39,3293,,,
43931,40,3512,,,
43932,41,3842,,,
43933,42,4241,,,
43934,43,4557,,,
43935,44,4839,,,
43936,45,5136,,,
43937,46,5516,,,
43938,47,5923,,,
43939,48,6248,,,
43940,49,6575,,,
43941,50,6760,,,
43942,51,7135,,,
43943,52,7418,,,
43944,53,7775,,,
43945,54,8211,,,
43946,55,8607,,,
43947,56,8882,,,
43948,57,9096,,,
43949,58,9511,,,
43950,59,9771,,,
43951,60,10118,,,
43952,61,10551,,,
43953,62,10843,,,
43954,63,11192,,,
43955,64,11587,,,
43956,65,12071,,,
43957,66,12438,,,
43958,67,12776,,,
43959,68,13112,,,
43960,69,13645,,,
43961,70,14032,,,
43962,71,14265,,,
43963,72,14749,,,
43964,73,15438,,,
43965,74,16006,,,
43966,75,16496,,,
43967,76,17025,,,
43968,77,17514,,,
43969,78,18010,,,
43970,79,18496,,,
43971,80,19189,,,
43972,81,20162,,,
43973,82,20796,,,
43974,83,21745,,,
43975,84,22271,,,
43976,85,22750,,,
43977,86,23165,,,
43978,87,23851,,,
43979,88,24538,,,
43980,89,25216,,,
43981,90,25773,,,
43982,91,26473,,,
43983,92,26940,,,
43984,93,27549,,,
43985,94,28233,,,
43986,95,28818,,,
